Booking_ID,room_type_reserved,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests
INN00001,Room_Type 1,Offline,0,0,0,0
INN00002,Room_Type 1,Online,0,0,0,1
INN00003,Room_Type 1,Online,0,0,0,0
INN00004,Room_Type 1,Online,0,0,0,0
INN00005,Room_Type 1,Online,0,0,0,0
INN00006,Room_Type 1,Online,0,0,0,1
INN00007,Room_Type 1,Online,0,0,0,1
INN00008,Room_Type 4,Online,0,0,0,1
INN00009,Room_Type 1,Offline,0,0,0,1
INN00010,Room_Type 4,Online,0,0,0,3
INN00011,Room_Type 1,Online,0,0,0,0
INN00012,Room_Type 4,Online,0,0,0,1
INN00013,Room_Type 1,Online,0,0,0,0
INN00014,Room_Type 1,Online,0,0,0,2
INN00015,Room_Type 1,Online,0,0,0,2
INN00016,Room_Type 1,Online,0,0,0,1
INN00017,Room_Type 1,Offline,0,0,0,0
INN00018,Room_Type 1,Online,0,0,0,1
INN00019,Room_Type 1,Online,0,0,0,0
INN00020,Room_Type 1,Offline,0,0,0,0
INN00021,Room_Type 1,Online,0,0,0,0
INN00022,Room_Type 1,Corporate,0,0,0,0
INN00023,Room_Type 1,Offline,0,0,0,0
INN00024,Room_Type 1,Offline,0,0,0,0
INN00025,Room_Type 1,Online,0,0,0,1
INN00026,Room_Type 1,Online,0,0,0,1
INN00027,Room_Type 1,Offline,0,0,0,0
INN00028,Room_Type 4,Aviation,0,0,0,0
INN00029,Room_Type 1,Online,0,0,0,0
INN00030,Room_Type 1,Offline,0,0,0,0
INN00031,Room_Type 4,Online,0,0,0,1
INN00032,Room_Type 1,Online,0,0,0,1
INN00033,Room_Type 2,Online,0,0,0,1
INN00034,Room_Type 1,Online,0,0,0,1
INN00035,Room_Type 1,Offline,0,0,0,0
INN00036,Room_Type 1,Online,0,0,0,1
INN00037,Room_Type 1,Online,0,0,0,0
INN00038,Room_Type 1,Offline,0,0,0,0
INN00039,Room_Type 1,Online,0,0,0,0
INN00040,Room_Type 4,Online,0,0,0,1
INN00041,Room_Type 1,Online,0,0,0,2
INN00042,Room_Type 1,Online,0,0,0,1
INN00043,Room_Type 1,Online,0,0,0,1
INN00044,Room_Type 1,Online,0,0,0,1
INN00045,Room_Type 4,Offline,0,0,0,1
INN00046,Room_Type 1,Offline,0,0,0,0
INN00047,Room_Type 1,Offline,0,0,0,0
INN00048,Room_Type 1,Offline,0,0,0,0
INN00049,Room_Type 1,Online,0,0,0,1
INN00050,Room_Type 4,Online,0,0,0,2
INN00051,Room_Type 1,Online,0,0,0,0
INN00052,Room_Type 1,Online,0,0,0,0
INN00053,Room_Type 1,Online,0,0,0,1
INN00054,Room_Type 4,Offline,0,0,0,1
INN00055,Room_Type 1,Online,0,0,0,2
INN00056,Room_Type 1,Online,0,0,0,1
INN00057,Room_Type 1,Online,0,0,0,1
INN00058,Room_Type 1,Online,0,0,0,2
INN00059,Room_Type 4,Online,0,0,0,0
INN00060,Room_Type 4,Online,0,0,0,1
INN00061,Room_Type 6,Online,0,0,0,1
INN00062,Room_Type 4,Online,0,0,0,2
INN00063,Room_Type 1,Offline,0,0,0,0
INN00064,Room_Type 1,Complementary,0,0,0,1
INN00065,Room_Type 1,Offline,0,0,0,0
INN00066,Room_Type 4,Online,0,0,0,2
INN00067,Room_Type 4,Online,0,0,0,1
INN00068,Room_Type 4,Online,0,0,0,0
INN00069,Room_Type 1,Offline,0,0,0,0
INN00070,Room_Type 1,Online,0,0,0,1
INN00071,Room_Type 1,Offline,0,0,0,0
INN00072,Room_Type 1,Online,0,0,0,2
INN00073,Room_Type 1,Online,0,0,0,1
INN00074,Room_Type 1,Online,0,0,0,0
INN00075,Room_Type 4,Offline,0,0,0,0
INN00076,Room_Type 4,Online,0,0,0,1
INN00077,Room_Type 4,Online,0,0,0,0
INN00078,Room_Type 1,Online,0,0,0,1
