,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,total_nights
0,INN00001,2,0,1,2,0,Room_Type 1,224,2017,10,2,Offline,0,0,0,65.0,0,Not_Canceled,3
1,INN00002,2,0,2,3,0,Room_Type 1,5,2018,11,6,Online,0,0,0,106.68,1,Not_Canceled,5
2,INN00003,1,0,2,1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60.0,0,Canceled,3
3,INN00004,2,0,0,2,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100.0,0,Canceled,2
4,INN00005,2,0,1,1,0,Room_Type 1,48,2018,4,11,Online,0,0,0,94.5,0,Canceled,2
5,INN00006,2,0,0,2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled,2
6,INN00007,2,0,1,3,0,Room_Type 1,34,2017,10,15,Online,0,0,0,107.55,1,Not_Canceled,4
7,INN00008,2,0,1,3,0,Room_Type 4,83,2018,12,26,Online,0,0,0,105.61,1,Not_Canceled,4
8,INN00009,3,0,0,4,0,Room_Type 1,121,2018,7,6,Offline,0,0,0,96.9,1,Not_Canceled,4
9,INN00010,2,0,0,5,0,Room_Type 4,44,2018,10,18,Online,0,0,0,133.44,3,Not_Canceled,5
10,INN00011,1,0,1,0,0,Room_Type 1,0,2018,9,11,Online,0,0,0,85.03,0,Not_Canceled,1
11,INN00012,1,0,2,1,0,Room_Type 4,35,2018,4,30,Online,0,0,0,140.4,1,Not_Canceled,3
12,INN00013,2,0,2,1,0,Room_Type 1,30,2018,11,26,Online,0,0,0,88.0,0,Canceled,3
13,INN00014,1,0,2,0,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90.0,2,Canceled,2
14,INN00015,2,0,0,2,0,Room_Type 1,47,2017,10,20,Online,0,0,0,94.5,2,Not_Canceled,2
15,INN00016,2,0,0,2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,115.0,1,Canceled,2
16,INN00017,1,0,1,0,0,Room_Type 1,0,2017,10,5,Offline,0,0,0,96.0,0,Not_Canceled,1
17,INN00018,2,0,1,3,0,Room_Type 1,1,2017,8,10,Online,0,0,0,96.0,1,Not_Canceled,4
18,INN00019,2,0,2,2,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65.0,0,Canceled,4
19,INN00020,2,0,1,0,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72.0,0,Not_Canceled,1
20,INN00021,2,0,2,2,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65.0,0,Canceled,4
21,INN00022,1,0,0,1,0,Room_Type 1,122,2018,11,25,Corporate,0,0,0,67.0,0,Not_Canceled,1
22,INN00023,2,0,2,4,0,Room_Type 1,2,2018,3,20,Offline,0,0,0,85.0,0,Not_Canceled,6
23,INN00024,2,0,0,3,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled,3
24,INN00025,2,0,2,1,0,Room_Type 1,130,2018,5,22,Online,0,0,0,94.5,1,Not_Canceled,3
25,INN00026,2,0,0,2,0,Room_Type 1,99,2018,4,28,Online,0,0,0,114.3,1,Not_Canceled,2
26,INN00027,2,0,1,1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65.0,0,Not_Canceled,2
27,INN00028,1,0,0,2,0,Room_Type 4,2,2018,5,19,Aviation,0,0,0,110.0,0,Canceled,2
28,INN00029,1,0,1,2,0,Room_Type 1,37,2017,11,6,Online,0,0,0,37.33,0,Canceled,3
29,INN00030,2,0,0,2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82.0,0,Not_Canceled,2
30,INN00031,2,0,1,1,0,Room_Type 4,3,2017,9,19,Online,0,0,0,177.5,1,Not_Canceled,2
31,INN00032,2,0,2,2,0,Room_Type 1,107,2018,11,13,Online,0,0,0,87.5,1,Not_Canceled,4
32,INN00033,0,2,0,3,0,Room_Type 2,56,2018,12,7,Online,0,0,0,82.44,1,Not_Canceled,3
33,INN00034,2,0,0,1,0,Room_Type 1,2,2018,1,9,Online,0,0,0,69.5,1,Not_Canceled,1
34,INN00035,2,0,0,2,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,85.5,0,Not_Canceled,2
